index,probability_not_bacteriocin,probability_bacteriocin
3166.0,0.002,0.0027
3172.0,0.0001,0.0147
3173.0,0.0,0.5623
3176.0,0.0002,0.0017
3177.0,0.0002,0.7455
3178.0,0.0007,0.9855
3180.0,0.0002,0.4075
3182.0,0.0001,0.2498
3184.0,0.0001,0.1602
3185.0,0.0001,0.4146
3186.0,0.0,0.9997
3191.0,0.0,0.9937
3193.0,0.0,0.9946
3195.0,0.0,0.9403
3198.0,0.0,0.1207
3199.0,0.0058,0.1904
3203.0,0.0001,0.0044
3205.0,0.0,0.1256
3206.0,0.0001,0.1636
3210.0,0.0,0.9714
3212.0,0.0,0.6965
3214.0,0.0001,0.2996
3219.0,0.0003,0.0092
3220.0,0.0025,0.0363
3222.0,0.0001,0.0321
3226.0,0.0002,0.3261
3227.0,0.0001,0.1134
3230.0,0.0001,0.0247
3231.0,0.0037,0.3468
3236.0,0.0001,0.0027
3237.0,0.0,0.6683
3239.0,0.0,0.9996
3240.0,0.0022,0.0031
3242.0,0.0178,0.0205
3243.0,0.0005,0.0262
3246.0,0.0,0.8365
3247.0,0.0,0.2939
3248.0,0.0005,0.5922
3255.0,0.0012,0.0021
3256.0,0.0003,0.3707
3259.0,0.0,0.9378
3260.0,0.0077,0.0164
3263.0,0.0001,0.6767
3264.0,0.0,0.9397
3266.0,0.0,0.8104
3267.0,0.0009,0.002
3269.0,0.0,0.9992
3270.0,0.0001,0.7804
3272.0,0.0026,0.0038
3274.0,0.0,0.3024
3280.0,0.0,0.8386
3282.0,0.0,0.7536
3284.0,0.0001,0.0121
3285.0,0.0005,0.015
3286.0,0.0001,0.3494
3287.0,0.0,0.8496
3290.0,0.0,0.9639
3292.0,0.0004,0.0075
3294.0,0.0,0.9271
3295.0,0.0,0.0113
3296.0,0.0011,0.0018
3297.0,0.0,0.9995
3298.0,0.0001,0.0034
3300.0,0.0,0.3815
3301.0,0.0092,0.0114
3304.0,0.0023,0.3828
3305.0,0.0,0.8433
3306.0,0.0003,0.1266
3307.0,0.0001,0.0072
3309.0,0.0002,0.0007
3310.0,0.0011,0.0028
3311.0,0.0,0.1281
3314.0,0.0004,0.6843
3315.0,0.0,0.975
3319.0,0.0001,0.802
3320.0,0.0,0.7417
3325.0,0.0,0.0177
3326.0,0.0,0.9381
3327.0,0.0003,0.0016
3328.0,0.0,1.0
3329.0,0.0001,0.9666
3331.0,0.0007,0.3757
3332.0,0.0002,0.9022
3333.0,0.0023,0.0036
3337.0,0.0001,0.0602
3339.0,0.0001,0.1914
3341.0,0.0001,0.321
3342.0,0.0003,0.8545
3347.0,0.0006,0.0073
3348.0,0.0,0.0359
3349.0,0.0001,0.0395
3350.0,0.0054,0.2173
3352.0,0.0,0.9599
3353.0,0.0003,0.0008
3354.0,0.0005,0.4882
3355.0,0.0004,0.011
3358.0,0.0002,0.9665
3362.0,0.0002,0.0016
3364.0,0.0016,0.8894
3367.0,0.0001,0.9076
3372.0,0.0001,0.9888
3373.0,0.0001,0.7405
3376.0,0.0004,0.1506
3380.0,0.0,0.9874
3382.0,0.0043,0.0707
3385.0,0.0,0.9999
3387.0,0.0005,0.0051
3388.0,0.0,0.9053
3389.0,0.0001,0.4168
3391.0,0.0004,0.972
3392.0,0.0,0.33
3394.0,0.0011,0.0056
3395.0,0.0,0.9148
3396.0,0.0002,0.146
3398.0,0.0,0.9992
3400.0,0.0014,0.0021
3402.0,0.0008,0.1604
3403.0,0.0025,0.0059
3404.0,0.0006,0.141
3408.0,0.0,0.7653
3409.0,0.0,0.9971
3411.0,0.0013,0.0926
3412.0,0.0,0.401
3413.0,0.0003,0.0027
3414.0,0.0004,0.0083
3415.0,0.0,0.0645
3416.0,0.0019,0.0072
3419.0,0.0,0.9933
3422.0,0.0,0.8643
3423.0,0.0006,0.004
3427.0,0.0001,0.9764
3428.0,0.0002,0.0535
3429.0,0.0,0.9791
3432.0,0.0001,0.992
3436.0,0.0063,0.0483
3438.0,0.0013,0.0796
3439.0,0.0001,0.2561
3440.0,0.0002,0.945
3441.0,0.0,0.9998
3443.0,0.0004,0.0028
3446.0,0.0002,0.0113
3450.0,0.0,0.9996
3451.0,0.0,0.9996
3452.0,0.0,0.9661
3458.0,0.0002,0.2727
3459.0,0.0003,0.0429
3460.0,0.0003,0.0046
3462.0,0.0001,0.0573
3464.0,0.0,0.2971
3465.0,0.0,0.7287
3466.0,0.0,0.2976
3468.0,0.0,0.1702
3469.0,0.0001,0.004
3470.0,0.0,0.857
3472.0,0.0,1.0
3474.0,0.0,0.9943
3477.0,0.0,0.0335
3478.0,0.0,0.8085
3481.0,0.0003,0.0044
3483.0,0.0,0.9946
3485.0,0.0,0.9983
3486.0,0.0,0.0485
3487.0,0.0,0.9163
3488.0,0.0002,0.0004
3489.0,0.0,0.6786
3493.0,0.0,0.9969
3494.0,0.0,0.9928
3495.0,0.0005,0.0046
3496.0,0.0005,0.9932
3500.0,0.0001,0.1012
3502.0,0.0003,0.0073
3503.0,0.0001,0.5977
3504.0,0.0002,0.1286
3505.0,0.0,0.1599
3506.0,0.0003,0.0236
3510.0,0.0001,0.0158
3511.0,0.0,1.0
3512.0,0.0048,0.0249
3513.0,0.0,0.9972
3514.0,0.0,0.0668
3516.0,0.0,0.6132
3517.0,0.0003,0.0004
3520.0,0.0003,0.277
3523.0,0.0,0.994
3527.0,0.0,0.9046
3530.0,0.0011,0.0172
3531.0,0.0008,0.004
3535.0,0.0076,0.0098
3536.0,0.002,0.1226
3538.0,0.0,0.2506
3541.0,0.0003,0.0964
3542.0,0.0002,0.997
3543.0,0.0001,0.0812
3546.0,0.0001,0.453
3548.0,0.0,0.7765
3550.0,0.0001,0.8646
3551.0,0.0009,0.0162
3553.0,0.0003,0.6477
3556.0,0.0015,0.0165
3557.0,0.0001,0.9402
3561.0,0.0001,0.0645
3564.0,0.0007,0.0185
3565.0,0.0021,0.0074
3571.0,0.0,0.0558
3572.0,0.0,0.9995
3573.0,0.0,0.9615
3574.0,0.0,0.9952
3576.0,0.0001,0.0267
3580.0,0.0017,0.0205
3581.0,0.0,0.0181
3583.0,0.0,0.3219
3588.0,0.0008,0.7317
3591.0,0.0063,0.0881
3592.0,0.003,0.0067
3593.0,0.0002,0.1066
3595.0,0.0,0.5848
3596.0,0.0003,0.0175
3598.0,0.0001,0.0482
3600.0,0.0035,0.0412
3601.0,0.0,0.998
3602.0,0.0001,0.8965
3604.0,0.0,0.994
3606.0,0.0002,0.0202
3607.0,0.0008,0.0282
3608.0,0.0,0.9998
3609.0,0.0,0.2822
3610.0,0.0005,0.1854
3611.0,0.0011,0.0022
3613.0,0.0002,0.0046
3614.0,0.0,0.8106
3615.0,0.0013,0.3306
3616.0,0.0004,0.0257
3617.0,0.0001,0.0201
3618.0,0.0001,0.1962
3619.0,0.0001,0.1992
3620.0,0.0,0.2679
3621.0,0.0002,0.0139
3623.0,0.0003,0.0006
3624.0,0.0023,0.0088
3625.0,0.002,0.0099
3626.0,0.0004,0.0029
3627.0,0.0029,0.0033
3631.0,0.0003,0.84
3634.0,0.0,0.9999
3635.0,0.0,0.7053
3636.0,0.0001,0.8605
3639.0,0.0,0.9976
3645.0,0.0003,0.2647
3646.0,0.0,1.0
3649.0,0.0,0.9975
3652.0,0.0,0.1861
3656.0,0.0001,0.0138
3658.0,0.0,0.9982
3659.0,0.0004,0.0054
3660.0,0.001,0.3485
3661.0,0.0081,0.0109
3662.0,0.0003,0.0841
3663.0,0.0002,0.0087
3665.0,0.0005,0.0087
3666.0,0.0,0.9989
3667.0,0.0,0.3696
3668.0,0.0001,0.0091
3669.0,0.0004,0.8285
3670.0,0.0,0.0269
3671.0,0.0002,0.8193
3672.0,0.0005,0.1044
3673.0,0.0004,0.077
3675.0,0.0,0.9036
3678.0,0.0,0.9882
3679.0,0.0,0.6983
3680.0,0.0016,0.0017
3681.0,0.0,0.9722
3682.0,0.0,0.8367
3683.0,0.0021,0.0149
3686.0,0.0005,0.0019
3689.0,0.0011,0.0014
3690.0,0.0001,0.0966
3692.0,0.0003,0.0138
3693.0,0.0,0.9451
3696.0,0.0,0.9709
3697.0,0.0001,0.0255
3699.0,0.0,0.7509
3703.0,0.0001,0.3532
3704.0,0.0,0.1122
3705.0,0.0001,0.9515
3706.0,0.0,0.0154
3707.0,0.0001,0.1794
3708.0,0.0,0.9736
3712.0,0.0,0.9865
3713.0,0.0,0.9892
3716.0,0.0,0.4734
3717.0,0.0007,0.0074
3718.0,0.0025,0.0182
3719.0,0.0056,0.0157
3720.0,0.0,0.737
3721.0,0.0015,0.008
3723.0,0.0015,0.0024
3726.0,0.0,0.7708
3727.0,0.0007,0.0151
3728.0,0.0065,0.4071
3729.0,0.0,0.8769
3732.0,0.0008,0.4794
3733.0,0.0007,0.0212
3734.0,0.0012,0.0042
3736.0,0.0105,0.0175
3737.0,0.0,0.535
3741.0,0.0,0.1176
3742.0,0.0002,0.9975
3743.0,0.0,0.8952
3747.0,0.0007,0.5946
3748.0,0.0022,0.0029
3749.0,0.0,0.939
3753.0,0.0001,0.051
3754.0,0.0,0.9763
3755.0,0.0,0.9572
3756.0,0.0,0.9864
3757.0,0.0,0.5355
3759.0,0.0,0.9815
3761.0,0.0001,0.9871
3764.0,0.0045,0.0086
3765.0,0.0,0.0341
3767.0,0.0001,0.8291
3768.0,0.0,0.9992
3769.0,0.0044,0.3526
3770.0,0.0004,0.9871
3771.0,0.0,0.9305
3773.0,0.0005,0.0512
3774.0,0.0,0.3441
3777.0,0.0,0.0231
3779.0,0.0002,0.0065
3781.0,0.0001,0.6941
3782.0,0.0012,0.9185
3783.0,0.0001,0.7283
3785.0,0.0007,0.0133
3786.0,0.0,0.3647
3787.0,0.0001,0.8041
3789.0,0.0007,0.003
3790.0,0.0057,0.1208
3795.0,0.0008,0.8058
3797.0,0.0001,0.9779
3798.0,0.0001,0.9084
3799.0,0.0034,0.0085
3800.0,0.0088,0.0142
3801.0,0.0013,0.0041
3802.0,0.0025,0.0026
3803.0,0.0,1.0
3806.0,0.0,0.8085
3808.0,0.0001,0.0134
3809.0,0.0,0.9988
3810.0,0.0004,0.0214
3811.0,0.0,0.2081
3813.0,0.0,0.9124
3814.0,0.0,0.1708
3815.0,0.0004,0.0008
3816.0,0.0001,0.2224
3817.0,0.0005,0.0438
3818.0,0.0001,0.0107
3821.0,0.0008,0.0078
3823.0,0.0002,0.6412
3824.0,0.0,0.9976
3825.0,0.0001,0.1047
3828.0,0.0,0.9169
3829.0,0.0197,0.0651
3830.0,0.0001,0.8866
3832.0,0.0,0.0065
3834.0,0.0006,0.0017
3838.0,0.0,0.5234
3839.0,0.0001,0.8716
3841.0,0.0001,0.9434
3843.0,0.0018,0.0049
3844.0,0.0002,0.1317
3845.0,0.0015,0.0061
3846.0,0.0005,0.6469
3847.0,0.0,0.9558
3850.0,0.0,0.9945
3853.0,0.0001,0.1904
3854.0,0.0001,0.0483
3856.0,0.0,0.9508
3859.0,0.0,0.9527
3860.0,0.0,0.9255
3861.0,0.0001,0.8991
3862.0,0.0,0.211
3863.0,0.0001,0.0096
3864.0,0.0058,0.1135
3865.0,0.0,0.9814
3866.0,0.0,0.6206
3868.0,0.0001,0.8028
3870.0,0.0,0.9919
3871.0,0.0009,0.0026
3872.0,0.0001,0.9847
3873.0,0.0001,0.9861
3874.0,0.0,0.6796
3875.0,0.0001,0.0187
3876.0,0.0,0.4504
3879.0,0.0001,0.9473
3881.0,0.0,0.6984
3883.0,0.0005,0.0044
3885.0,0.0,0.1838
3886.0,0.001,0.0019
3887.0,0.0005,0.015
3888.0,0.0007,0.6733
3889.0,0.0002,0.0006
3890.0,0.0004,0.2392
3891.0,0.0002,0.7447
3893.0,0.0021,0.0177
3896.0,0.0,0.0397
3897.0,0.0001,0.2244
3898.0,0.0001,0.9872
3899.0,0.0043,0.0065
3900.0,0.0,0.8651
3904.0,0.0,0.9999
3907.0,0.0002,0.0073
3909.0,0.0,0.5181
3913.0,0.0,0.9951
3915.0,0.0001,0.4767
3916.0,0.0,0.9482
3917.0,0.0,0.8565
3918.0,0.0009,0.0446
3919.0,0.0,0.8766
3920.0,0.0,0.2957
3921.0,0.007,0.3488
3922.0,0.0001,0.9965
3924.0,0.0,0.4439
3925.0,0.0007,0.9534
3927.0,0.0,0.8623
3928.0,0.0006,0.5002
3932.0,0.0,0.1179
3934.0,0.0003,0.4426
3936.0,0.0,0.6627
3937.0,0.0001,0.4647
3938.0,0.0018,0.5569
3939.0,0.0003,0.1305
3940.0,0.001,0.0165
3942.0,0.0,0.9353
3943.0,0.0,0.9297
3947.0,0.0011,0.0173
3948.0,0.0021,0.2137
3951.0,0.0,0.2191
3952.0,0.0,0.9078
3954.0,0.0,0.4628
3955.0,0.0,0.9955
3957.0,0.0,0.9251
3959.0,0.0,0.9641
3960.0,0.0,0.9843
3961.0,0.0,0.999
3963.0,0.0002,0.2787
3964.0,0.0,0.8869
3965.0,0.0037,0.1278
3966.0,0.0001,0.0061
3967.0,0.0003,0.16
3968.0,0.0,0.6629
3969.0,0.0001,0.0514
3970.0,0.0001,0.3778
3971.0,0.0005,0.8811
3972.0,0.0,0.7296
3977.0,0.0013,0.011
3979.0,0.0,0.9977
3980.0,0.001,0.0092
3981.0,0.0,0.4817
3982.0,0.0,0.9255
3983.0,0.0003,0.051
3985.0,0.0011,0.1162
3988.0,0.0,0.2782
3989.0,0.0,0.9998
3990.0,0.0,0.9493
3991.0,0.0001,0.7362
3993.0,0.0001,0.9224
3995.0,0.0002,0.9673
3997.0,0.0,0.5308
3998.0,0.0002,0.1061
3999.0,0.0001,0.0025
4000.0,0.005,0.1202
4001.0,0.0003,0.8666
4002.0,0.0003,0.3138
4003.0,0.0001,0.853
4007.0,0.0001,0.8683
4008.0,0.0,0.2636
4015.0,0.0013,0.0071
4016.0,0.0,0.8598
4017.0,0.0002,0.8769
4018.0,0.0022,0.0117
4019.0,0.0004,0.0021
4020.0,0.0001,0.9998
4021.0,0.0,0.2583
4023.0,0.0,0.8941
4025.0,0.0,0.9994
4026.0,0.0,0.9888
4029.0,0.0088,0.0989
4031.0,0.0,1.0
4033.0,0.0,1.0
4034.0,0.0001,0.6133
4035.0,0.0,0.9296
4036.0,0.0001,0.1063
4039.0,0.0012,0.7675
4040.0,0.0004,0.1132
4041.0,0.0039,0.1061
4042.0,0.0012,0.0891
4043.0,0.0001,0.9978
4044.0,0.0,0.9986
4045.0,0.0052,0.9885
4046.0,0.0014,0.0132
4047.0,0.0001,0.0012
4048.0,0.0002,0.1357
4050.0,0.0001,0.757
4051.0,0.0014,0.0077
4054.0,0.0,0.9775
4055.0,0.0001,0.0296
4056.0,0.0013,0.0115
4057.0,0.0,0.7484
4058.0,0.0085,0.0215
4062.0,0.001,0.0061
4064.0,0.0029,0.0123
4066.0,0.0001,0.0291
4067.0,0.0,0.9842
4069.0,0.0,0.9789
4071.0,0.0002,0.0905
4073.0,0.0001,0.0115
4074.0,0.0006,0.3177
4076.0,0.0003,0.5913
4077.0,0.0001,0.9494
4080.0,0.0,0.5094
4082.0,0.0003,0.9694
4083.0,0.0,0.9975
4086.0,0.0,0.9996
4089.0,0.0002,0.9672
4090.0,0.005,0.1945
4091.0,0.0,0.9807
4092.0,0.0001,0.9121
4096.0,0.0002,0.0481
4097.0,0.0,0.995
4103.0,0.0,0.9899
4104.0,0.0007,0.0108
4106.0,0.0025,0.809
4108.0,0.0038,0.004
4109.0,0.0,0.9996
4110.0,0.0005,0.0028
4112.0,0.0016,0.3755
4113.0,0.0003,0.0073
4114.0,0.0,0.3738
4115.0,0.0,0.8918
4119.0,0.0001,0.9873
4120.0,0.0,0.8699
4121.0,0.0,0.9986
4122.0,0.0017,0.8692
4124.0,0.0002,0.8413
4126.0,0.0003,0.0074
4127.0,0.0001,0.1098
4128.0,0.0,0.083
4129.0,0.0001,0.334
4130.0,0.0004,0.0249
4131.0,0.0,0.0285
4132.0,0.0028,0.0244
4133.0,0.0007,0.6234
4134.0,0.0,0.1574
4135.0,0.0002,0.9919
4137.0,0.0,0.804
4140.0,0.0003,0.7663
4142.0,0.0001,0.1155
4143.0,0.0,0.9978
4144.0,0.0001,0.297
4146.0,0.0,0.9647
4148.0,0.0,0.5006
4149.0,0.0,0.9925
4150.0,0.0003,0.0012
4152.0,0.0,0.9372
4153.0,0.0,0.8172
4155.0,0.0,0.9795
4157.0,0.0005,0.0124
4159.0,0.0023,0.4193
4162.0,0.0,0.9533
4164.0,0.0,0.0362
4165.0,0.0004,0.015
4167.0,0.0,0.9979
4169.0,0.0,0.9318
4170.0,0.0,0.82
4171.0,0.0012,0.6728
4173.0,0.0001,0.6695
4174.0,0.0009,0.0237
4177.0,0.0024,0.0146
4178.0,0.0012,0.7435
4179.0,0.0032,0.023
4180.0,0.0,0.9915
4181.0,0.0002,0.0062
4183.0,0.0,0.9921
4184.0,0.0,1.0
4185.0,0.0,0.219
4186.0,0.0,0.715
4188.0,0.0,0.9384
4189.0,0.0005,0.002
4191.0,0.0005,0.0909
4192.0,0.0011,0.0055
4193.0,0.0,0.5517
4195.0,0.0001,0.1109
4196.0,0.0007,0.0116
4197.0,0.0,0.997
4201.0,0.001,0.036
4202.0,0.0001,0.0781
4203.0,0.0,0.9809
4204.0,0.0,0.921
4205.0,0.0,0.9771
4206.0,0.0005,0.0078
4207.0,0.0064,0.285
4208.0,0.0008,0.2295
4209.0,0.0258,0.0315
4211.0,0.0,0.1425
4212.0,0.0001,0.9952
4213.0,0.0,0.9972
4214.0,0.0002,0.6732
4216.0,0.0001,0.3187
4218.0,0.0027,0.0114
4219.0,0.0,0.9926
4220.0,0.0,0.9678
4221.0,0.0003,0.0959
4222.0,0.0026,0.0032
4224.0,0.0001,0.8305
4228.0,0.0003,0.013
4230.0,0.0002,0.1514
4233.0,0.0001,0.0309
4234.0,0.0001,0.9975
4235.0,0.0009,0.863
4236.0,0.0011,0.0022
4237.0,0.0,0.1917
4238.0,0.0,0.9999
4239.0,0.0041,0.011
4240.0,0.0001,0.9428
4241.0,0.001,0.9899
4242.0,0.0,0.8932
4243.0,0.0,0.9984
4244.0,0.0002,0.0237
4245.0,0.0001,0.4545
4246.0,0.0011,0.1429
4249.0,0.0,0.959
4250.0,0.0004,0.7488
4251.0,0.0004,0.1101
4253.0,0.0001,0.9649
4254.0,0.0,0.9644
4255.0,0.0,0.9995
4256.0,0.0001,0.9073
4257.0,0.0007,0.1946
4259.0,0.0,0.9862
4261.0,0.0004,0.1302
4262.0,0.0013,0.0628
4265.0,0.0,0.143
4268.0,0.0,0.6955
4270.0,0.0001,0.0338
4271.0,0.0,0.6015
4272.0,0.0,0.913
4273.0,0.0,0.9999
4275.0,0.002,0.0419
4276.0,0.0,0.9881
4277.0,0.0001,0.0195
4278.0,0.0001,0.413
4279.0,0.0026,0.5382
4280.0,0.0,0.9951
4281.0,0.0,0.8494
4282.0,0.0,0.9291
4284.0,0.0001,0.5982
4285.0,0.0005,0.327
4287.0,0.0,0.7223
4288.0,0.0008,0.7456
4289.0,0.0,0.9998
4290.0,0.0,0.0431
4292.0,0.0006,0.0162
4296.0,0.0026,0.0158
4297.0,0.0025,0.0535
4298.0,0.0,0.9467
4301.0,0.0002,0.8022
4302.0,0.0,0.997
4303.0,0.0028,0.0087
4304.0,0.0001,0.9892
4305.0,0.0001,0.056
4307.0,0.0001,0.0949
4308.0,0.002,0.026
4309.0,0.0,0.9959
4310.0,0.0,0.9917
4312.0,0.0,0.9945
4315.0,0.0073,0.0086
4316.0,0.0003,0.8869
4318.0,0.001,0.0393
4319.0,0.0019,0.3795
4321.0,0.0028,0.3375
4322.0,0.0001,0.9948
4323.0,0.0007,0.101
4324.0,0.0005,0.1854
4325.0,0.0,0.9547
4326.0,0.0003,0.2114
4327.0,0.0,0.8933
4328.0,0.0001,0.2989
4329.0,0.0001,0.0189
4330.0,0.0001,0.9139
4331.0,0.0001,0.274
4333.0,0.0,0.9997
4334.0,0.0033,0.0043
4335.0,0.0006,0.0113
4337.0,0.0009,0.631
4339.0,0.0001,0.4993
4341.0,0.0001,0.8617
4342.0,0.0,0.9178
4344.0,0.0,0.9977
4345.0,0.0,0.9918
4347.0,0.0,0.831
4348.0,0.0,0.9906
4349.0,0.0002,0.0292
4351.0,0.0001,0.1158
4352.0,0.0,0.6097
4355.0,0.0,0.4169
4357.0,0.0,0.9899
4358.0,0.0003,0.0064
4359.0,0.0001,0.7108
4361.0,0.0019,0.0114
4362.0,0.0,0.9958
4365.0,0.0001,0.9649
4366.0,0.0,0.9523
4367.0,0.0,0.2847
4368.0,0.0,0.9271
4369.0,0.0,0.989
4371.0,0.0008,0.904
4373.0,0.0,0.9345
4374.0,0.0001,0.8578
4375.0,0.0,0.9628
4376.0,0.0,0.8132
4377.0,0.0,0.9423
4378.0,0.0,0.9999
4379.0,0.0001,0.9993
4380.0,0.0,0.9878
4381.0,0.0,0.6669
4382.0,0.0,0.9272
4383.0,0.0043,0.0055
4385.0,0.0004,0.0198
4386.0,0.0016,0.1793
4387.0,0.0,0.2234
4388.0,0.0,0.6549
4389.0,0.0,0.9237
4390.0,0.0,0.9991
4391.0,0.0,0.947
4393.0,0.0008,0.0532
4394.0,0.0,0.6323
4395.0,0.0,0.7024
4396.0,0.0019,0.054
4397.0,0.0002,0.4848
4399.0,0.0,0.9984
4400.0,0.0,0.6274
4404.0,0.0033,0.0902
4406.0,0.0,0.988
4407.0,0.0011,0.2319
4408.0,0.0,0.9113
4413.0,0.0001,0.9952
4414.0,0.0,0.2793
4415.0,0.0003,0.4679
4416.0,0.0,0.8408
4417.0,0.0,0.9778
4419.0,0.0,0.9941
4420.0,0.0001,0.9855
4421.0,0.0,0.9413
4422.0,0.0001,0.9135
4423.0,0.0,0.9932
4424.0,0.0,0.8955
4425.0,0.0003,0.3584
4426.0,0.0001,0.5144
4427.0,0.0001,0.996
4429.0,0.0,0.9923
4430.0,0.0021,0.1003
4431.0,0.0,0.9995
4432.0,0.0001,0.8167
4436.0,0.0,0.2305
4437.0,0.0002,0.8868
4440.0,0.0,0.9967
4441.0,0.0,0.8555
4442.0,0.0,0.9884
4443.0,0.0001,0.9941
4444.0,0.0002,0.4722
4445.0,0.0,0.9818
4446.0,0.0103,0.0171
4447.0,0.0,0.9233
4448.0,0.0025,0.1267
4449.0,0.0023,0.562
4450.0,0.0,0.7592
4451.0,0.0001,0.2686
4452.0,0.0,0.6256
4454.0,0.0,0.9105
4457.0,0.0,0.8948
4458.0,0.0,0.8794
4459.0,0.0,0.9967
4460.0,0.0002,0.7083
4461.0,0.0001,0.9869
4462.0,0.0001,0.8448
4464.0,0.0,0.8783
4466.0,0.0002,0.7347
4467.0,0.0,0.9927
4468.0,0.0,0.9998
4469.0,0.0039,0.5322
4470.0,0.0,0.3535
4471.0,0.0037,0.0053
4472.0,0.0008,0.6614
4473.0,0.0,0.9882
4474.0,0.0044,0.08
4475.0,0.0002,0.9651
4476.0,0.0,0.6685
4477.0,0.0,0.9643
4478.0,0.0006,0.4311
4479.0,0.0001,0.5982
4480.0,0.0014,0.0129
4481.0,0.0,0.8901
4482.0,0.0,0.9158
4483.0,0.0011,0.7036
4484.0,0.0003,0.213
4485.0,0.0003,0.4031
4486.0,0.0007,0.3379
4487.0,0.0008,0.5914
4488.0,0.0001,0.7315
4489.0,0.0003,0.6412
4490.0,0.0,0.9984
4492.0,0.0,0.9971
4493.0,0.0,0.9968
4494.0,0.0,0.8473
4495.0,0.0003,0.7968
4496.0,0.0033,0.2282
4497.0,0.0,0.9984
4498.0,0.0001,0.9578
4499.0,0.0001,0.0997
4501.0,0.0059,0.0082
4502.0,0.0014,0.0471
4503.0,0.0002,0.9417
4504.0,0.0,0.9832
4505.0,0.0017,0.1889
4506.0,0.003,0.2747
4507.0,0.0001,0.9988
4508.0,0.0,0.9794
4510.0,0.0001,0.9933
4511.0,0.0,0.9994
4513.0,0.0001,0.7613
4514.0,0.0,0.9822
4516.0,0.0,0.9966
4518.0,0.0007,0.1677
4519.0,0.0001,0.9904
4520.0,0.0,0.5946
4521.0,0.0002,0.9958
4522.0,0.0,0.9675
4523.0,0.0,0.9984
4524.0,0.0095,0.012
4526.0,0.0001,0.5278
4527.0,0.0,0.9971
4528.0,0.0,0.9769
4529.0,0.0,0.9931
4530.0,0.0003,0.0903
4531.0,0.0002,0.9773
4532.0,0.0002,0.2446
4533.0,0.0,0.9998
4534.0,0.0001,0.9864
4535.0,0.0002,0.9021
4536.0,0.0,0.9996
4537.0,0.0,0.9999
4538.0,0.0,0.9922
